source,target,weight
5681,11127,1
5681,11130,1
5681,11135,1
5681,9580,1
5681,11139,1
5681,11142,1
5681,11143,1
5681,11144,1
5681,6310,1
5681,11150,1
5681,11153,1
5681,9625,1
5681,11159,1
5681,11162,1
5681,8312,1
5681,11163,1
5681,11165,1
5681,11167,1
5681,11171,1
5681,11172,1
5681,11177,1
5681,11183,1
5681,11185,1
5681,11187,1
5681,11196,1
5681,9526,1
5681,11198,1
5681,10863,1
5681,11202,1
5681,11207,1
5681,11215,1
5681,6378,1
5681,11221,1
5681,11227,1
5681,11228,1
5681,11230,1
5681,11231,1
5681,11233,1
5681,11243,1
5681,9069,1
5681,11249,1
5681,11250,1
5681,11253,1
5681,11255,1
5681,11258,1
5681,11259,1
5681,7156,1
5681,11261,1
5681,11265,1
5681,11266,1
5681,11272,1
5681,11281,1
5681,11288,1
5681,6957,1
5681,11298,1
5681,7566,1
5681,11303,1
5681,11251,1
5681,11282,1
5681,7973,1
5681,11314,1
5681,11315,1
5681,11317,1
5681,11318,1
5681,8078,1
5681,11324,1
5681,11325,1
5681,11326,1
5681,11334,1
5681,11335,1
5681,6088,1
5681,8188,1
5681,11338,1
5681,8159,1
5681,11349,1
5681,9347,1
5681,11359,1
5681,11365,1
5681,11370,1
5681,11373,1
5681,5730,1
5681,11388,1
5681,11389,1
5681,11391,1
5681,11406,1
5681,11409,1
5681,11336,1
5681,11421,1
5681,7685,1
5681,11407,1
5681,9211,1
5681,11362,1
5681,11435,1
5681,11440,1
5681,7373,1
5681,11445,1
5681,11449,1
5681,11457,1
5681,11458,1
5681,11465,1
5681,11467,1
5681,10075,1
5681,7557,1
5681,6881,1
5681,11489,1
5681,11491,1
5681,11492,1
5681,11493,1
5681,8683,1
5681,11507,1
5681,11515,1
5681,11518,1
5681,11519,1
5681,11523,1
5681,11525,1
5681,11527,1
5681,11542,1
5681,11547,1
5681,9012,1
5681,11563,1
5681,11570,1
5681,8859,1
5681,11572,1
5681,11592,1
5681,11593,1
5681,11595,1
5681,11596,1
5681,11599,1
5681,11606,1
5681,11608,1
5681,11611,1
5681,7134,1
5681,11614,1
5681,11618,1
5681,11619,1
5681,11621,1
5681,11622,1
5681,11628,1
5681,11632,1
5681,11638,1
5681,11643,1
5681,11462,1
5681,11649,1
5681,11664,1
5681,11667,1
5681,11671,1
5681,11577,1
5681,11698,1
5681,11699,1
5681,11701,1
5681,11709,1
5681,11711,1
5681,6395,1
5681,11717,1
5681,11725,1
5681,11730,1
5681,11738,1
5681,11742,1
5681,11744,1
5681,11748,1
5681,11761,1
5681,11762,1
5681,6290,1
5681,11766,1
5681,11767,1
5681,11771,1
5681,11774,1
5681,11783,1
5681,9666,1
5681,11788,1
5681,11790,1
5681,11791,1
5681,11792,1
5681,11795,1
5681,9084,1
5681,9781,1
5681,11803,1
5681,11809,1
5681,11812,1
5681,11817,1
5681,11820,1
5681,11821,1
5681,11827,1
5681,11829,1
5681,11831,1
5681,11837,1
5681,11840,1
5681,8120,1
5681,11208,1
5681,11854,1
5681,11855,1
5681,11866,1
5681,11867,1
5681,11868,1
5681,8842,1
5681,11871,1
5681,9150,1
5681,11875,1
5681,7232,1
5681,11883,1
5681,11884,1
5681,6396,1
5681,11893,1
5681,11902,1
5681,8325,1
5681,11905,1
5681,11912,1
5681,11913,1
5681,11915,1
5681,11926,1
5681,11927,1
5681,11929,1
5681,11932,1
5681,9202,1
5681,11937,1
5681,10920,1
5681,11943,1
5681,11945,1
5681,11948,1
5681,11950,1
5681,9445,1
5681,11962,1
5681,11964,1
5681,7025,1
5681,11967,1
5681,11970,1
5681,11976,1
5681,11979,1
5681,12002,1
5681,12010,1
5681,12018,1
5681,12027,1
5681,12028,1
5681,12031,1
5681,12033,1
5681,12034,1
5681,12035,1
5681,12039,1
5681,6801,1
5681,12043,1
5681,12045,1
5681,12050,1
5681,12052,1
5681,12053,1
5681,12055,1
5681,12056,1
5681,12058,1
5681,12062,1
5681,12065,1
5681,12067,1
5681,12071,1
5681,12072,1
5681,12075,1
5681,12054,1
5681,12080,1
5681,12081,1
5681,7921,1
5681,7629,1
5681,12085,1
5681,12087,1
5681,12089,1
5681,12091,1
5681,10509,1
5681,12094,1
5681,12097,1
5681,12098,1
5681,12099,1
5681,12101,1
5681,7482,1
5681,12103,1
5681,12104,1
5681,12105,1
5681,12107,1
5681,12109,1
5681,12119,1
5681,12120,1
5681,12123,1
5681,7377,1
5681,12125,1
5681,12127,1
5681,12128,1
5681,12130,1
5681,12131,1
5681,12132,1
5681,12133,1
5681,12134,1
5681,12139,1
5681,12141,1
5681,12146,1
5681,12148,1
5681,12149,1
