source,target,weight
6875917,4015420,1
6875917,6327267,1
6875917,6064996,1
6875917,4376132,1
6875917,6064990,1
6875917,6634156,1
6875917,5613457,1
6875917,1532144,1
6875972,485139,1
6875972,1249008,1
6875972,4015419,1
6875972,5290707,1
6875972,6634091,1
6875972,4389013,1
6875972,346302,1
6875972,4376132,1
6875972,4658123,1
6875972,5290699,1
6875972,4015424,1
6875972,4015425,1
6875969,4658129,1
6875969,6102441,1
6875969,5613453,1
6875969,4658140,1
6875969,4376154,1
6875969,6102440,1
6875969,1173155,1
6875969,4015425,1
6875969,5613448,1
6875969,636793,1
6875969,6065003,1
6875969,6064996,1
6875969,4015424,1
6875969,5290699,1
6875969,6634087,1
6875942,6634100,1
6875942,6327248,1
6875942,5290698,1
6875942,6327272,1
6876044,6327288,1
6876044,6634087,1
6876044,964541_07,1
6876044,559229,1
6876044,1173148,1
6876005,6327252,1
6876005,5290721,1
6876005,6064945,1
6876005,6634100,1
6876050,5290752,1
6876050,6327248,1
6876050,6327275,1
6876050,885086,1
6876050,346302,1
6876050,1382904,1
6875935,6634132,1
6875935,6327233,1
6875935,6875931,1
6875935,5290766,1
6875935,6102439,1
6875935,5290699,1
6875935,6065015,1
6875935,1183754,1
6875935,6634190,1
6876031,4015460,1
6876031,4015450,1
6876031,6634153,1
6876031,1250413,1
6876031,964539,1
6876040,1532792,1
6876040,235219,1
6876040,5290720,1
6876040,6875916,1
6876040,1372194,1
6876040,6064996,1
6876040,1532788,1
6876040,235202,1
6876040,4658164,1
6875936,346321,1
6875936,6634108,1
6875936,885702,1
6875936,5290731,1
6875916,1372194,1
6876002,4015488,1
6876002,6327233,1
6876002,809908,1
6875976,6634132,1
6875976,809869,1
6875976,4015483,1
6875976,6064967,1
6875976,4658165,1
6875976,6064960,1
6875976,6634095,1
6875905,6634193,1
6875905,6634150,1
6875905,6064977,1
6875905,1250394,1
6875905,6327241,1
6875905,6064955,1
6875905,6064942,1
6875905,1183764,1
6876035,4376198,1
6876035,4658152,1
6876035,1250386,1
6876035,1532807,1
6876035,745311,1
6876035,1250387,1
6876019,5290763,1
6876019,480802,1
6876019,1532838,1
6876019,5613452,1
6876019,6064990,1
6876019,4015448,1
6875931,6634132,1
6875931,6327233,1
6875922,5290727,1
6875922,1372235,1
6875922,1250376,1
6875922,4658183,1
6875922,5290753,1
6875922,6064966,1
6875922,4376193,1
6875922,6634161,1
6876051,5290753,1
6876051,6064966,1
6876051,6634161,1
6876018,1250353,1
6876018,6634141,1
6876018,964540,1
6876018,4376196,1
6876018,1183754,1
6876018,1250351,1
6877722,6327222,1
6877722,4376196,1
6877722,480795,1
6877722,6064982,1
6875910,6634193,1
6875910,4376179,1
6875910,5613502,1
6875910,6327240,1
6875910,809886,1
6875910,1372208,1
6875910,4658153,1
6875910,1372209,1
6875910,1372186,1
6875910,6064942,1
6875910,4658184,1
6875965,1183786,1
6875965,1532851,1
6875965,809896,1
6875993,1532851,1
6875993,4376212,1
6875993,5613462,1
6875993,809896,1
6875993,745296,1
6875956,4658160,1
6875956,5613461,1
6875956,6065008,1
6875956,4015447,1
6875956,4658163,1
6875956,4015446,1
6875956,5613488,1
6875956,6064965,1
6875956,4658166,1
6875956,5290758,1
6875956,5613498,1
6875956,6634187,1
6875971,5290737,1
6875971,6064941,1
6875971,663898,1
6875971,6634188,1
6875971,6634133,1
6875971,4376175,1
6875975,663930,1
6875975,567807,1
6875975,4376176,1
6875975,1250374,1
6875975,146391,1
6875975,745288,1
6876027,6327209,1
6876027,1532804,1
6876027,1532843,1
6876027,5613471,1
6876027,1532833,1
6876027,4376203,1
6875939,6327204,1
6875939,964507,1
6875918,6064972,1
6875918,4658183,1
6875918,4376171,1
6875918,4015464,1
6875918,6327204,1
6875918,6327205,1
6875918,1532839,1
6875962,175773,1
6875962,235211,1
6875962,1250376,1
6876004,6634181,1
6876004,4376137,1
6876004,4677356,1
6876004,1372235,1
6876004,6634137,1
6876004,4015464,1
6876004,4677354,1
6876004,6634127,1
6876004,6634174,1
6876004,6400557,1
6876004,6102454,1
6876004,6634109,1
6875981,6634102,1
6875981,5290752,1
6875981,6102454,1
